MUNICIPIO,Latitud,Longitud
TARAZA,7.5804751,-75.3998498
CAQUEZA,4.4057096,-73.9459215
OCAMONTE,6.3406733,-73.1220123
GIGANTE,2.3948453,-75.52692389190892
SALENTO,4.6373012,-75.569799
GUAMO,4.0303906,-74.9679007
EL CARMEN,8.6473135,-73.4082035
ANDES,5.6555942,-75.8778448
UMBITA,5.22123,-73.457038
CAPITANEJO,6.5149284000000005,-72.67433876240807
PAZ DE RIO,6.02682935,-72.76314962038538
CIUDAD BOLIVAR,5.8500342,-76.0208666
SAN ANDRES SOTAVENTO,9.1457678,-75.5090819
LA MERCED,5.3989301,-75.54777
BARBOSA,6.438483250000001,-75.33912589828495
EL RETEN,10.612076,-74.2695268
CALIFORNIA,7.3480915,-72.9459294
SAN JACINTO,9.8296174,-75.1218628
BUENOS AIRES,3.0165467,-76.6406849
QUIPAMA,5.52297,-74.1812499
JURADO,7.1031695,-77.7623252
PRADERA,3.4196687,-76.2424378
AMALFI,7.0201156,-74.95163388200078
LA JAGUA DE IBIRICO,9.5575496,-73.29475837874824
CALI,3.4519238,-76.5328732
ITUANGO,7.1723319,-75.7640925
PAUNA,5.69296165,-73.99311972509602
EL CARMEN DE BOLIVAR,9.7178841,-75.1241376
GIRARDOTA,6.37580625,-75.43903067398595
GUEPSA,6.035725899999999,-73.56632393257743
CHOCONTA,5.1459409,-73.6839512
ACACIAS,3.39686965,-76.39196297703111
TADO,5.2639656,-76.5587372
CALOTO,3.0336985,-76.4085199
VISTAHERMOSA,9.6177548,-74.4444684
MALAGA,4.8264779,-75.7288284977983
MIRAFLORES,5.1514125,-73.17051515322876
VENECIA,5.9458914,-75.77601893549026
PUEBLO NUEVO,8.4625524,-75.40046403716812
SAN JOSE DEL GUAVIARE,2.5716141,-72.6426515
ANAPOIMA,4.5493011,-74.5359119
ABEJORRAL,5.80498375,-75.4304641628398
MUTATA,7.2440678,-76.436542
RICAURTE,4.2777357,-74.7718165
PURISIMA,9.27643225,-75.73189215882775
RIVERA,2.7776396,-75.2572183
NATAGAIMA,3.6241727,-75.0930613
URRAO,6.3168685,-76.1344983
VILLAMARIA,5.0449697,-75.5151258
TALAIGUA NUEVO,9.3032374,-74.5654949
PAZ DE ARIPORO,5.8815393,-71.892938
GUACARI,3.7630235,-76.3344854
PLANETA RICA,8.305347300000001,-75.60640823617896
TURBACO,10.3305871,-75.4127345
CLEMENCIA,10.56180475,-75.3295539371322
FIRAVITOBA,5.6748886,-73.01757112474615
TUNJA,5.5324313,-73.3616014
IPIALES,0.8236934,-77.6349296
FILADELFIA,5.2963713,-75.5622217
LA LLANADA,1.4731983,-77.580349
CORDOBA,8.3344713,-75.6666238
ALBANIA,11.244803399999999,-72.51609706675976
SORACA,5.4814276,-73.32177716265338
SAN VICENTE DEL CAGUAN,2.1131213,-74.7697347
PROVIDENCIA,1.2420408,-77.6009953089243
TASCO,5.8983538499999995,-72.7578745073439
SANTIAGO DE TOLU,9.5241138,-75.5841794
SAN LORENZO,1.5031548,-77.2153366
LA VEGA,4.9784445,-74.34892912508252
ALTAMIRA,4.9365071,-75.76243291903141
LOPEZ,2.983799,-76.1503575
EL CAIRO,4.7621884,-76.2207611
TAMARA,5.8296003,-72.1639754
PURIFICACION,3.8582108,-74.9308216
URIBE,3.2413296,-74.3510657
VALLE DE SAN JOSE,6.4480153,-73.1443007
CHIRIGUANA,9.3636401,-73.6016974
CONCORDIA,10.23088415,-74.75862405348146
TAURAMENA,5.013414,-72.7507084
SAN PEDRO DE CARTAGO,1.53855185,-77.1012781707924
BUCARAMANGA,7.1255169,-73.1182624
VEGACHI,6.861337150000001,-74.72346438150106
CHINCHINA,5.00215285,-75.70398901206929
ATACO,3.5912171,-75.3819459
ATRATO,5.54747405,-76.64208722719327
TOCANCIPA,4.9651937,-73.91142398313664
ONZAGA,6.3438974,-72.816606
YAGUARA,3.77282985,-75.35004149027176
EL TARRA,8.6145368,-73.0330358
SAN ESTANISLAO,10.3992064,-75.1506023
LOS PATIOS,7.8342202,-72.5059128
PUERTO CONCORDIA,2.77307455,-72.68629021595169
FLORIDA,3.3256006,-76.2370118
ANCUYA,1.2615284,-77.5147482
EL COLEGIO,4.5802618,-74.442374
LA UNION,4.80616365,-75.73148105178657
OBANDO,4.5746578,-75.9721783
GUAVATA,5.9542651,-73.6997882
TAMINANGO,1.5696216,-77.2772963
MITU,1.2523268,-70.2308883
BARANOA,10.7684258,-74.9179523191095
RAQUIRA,5.4969333,-73.6252565720087
VILLETA,5.0112575,-74.4702304
YARUMAL,7.008538,-75.4087701798245
TURBO,8.0950848,-76.728545
EL PAUJIL,1.77363045,-75.37435787949454
PINCHOTE,6.5322505,-73.1732298
ANSERMA,5.2337519,-75.7856623
URIBIA,11.7148608,-72.265783
EL ESPINO,6.4825581,-72.4952026
VALLE DE SAN JUAN,4.2003577,-75.1180693
ORITO,0.6686689,-76.8749697
SEVILLA,4.1579672,-75.8737653812139
PAIPA,5.7812701,-73.1176532
MADRID,4.7333686,-74.2629794
ALPUJARRA,3.3910327,-74.9326005
HISPANIA,5.79761205,-75.91561016708425
MAHATES,10.234262,-75.186894
LA PINTADA,5.7466446,-75.6054273
LA CELIA,4.98010335,-76.00237081575328
JERICO,6.13734945,-72.5818887747854
SESQUILE,5.0446176,-73.7963901
GUATAPE,6.2342179,-75.1617452
CERRITO,6.8435992,-72.6939627
BETULIA,6.1134294,-75.9845433
COROZAL,9.2045175,-75.27619980073368
EL CERRITO,3.6829185,-76.3071487
PUERTO WILCHES,7.3480175,-73.8979783
SAN AGUSTIN,1.92730775,-76.44928406980904
CAREPA,7.79845155,-76.74603894250129
AMAGA,6.035448199999999,-75.70093
SUAN,10.30473315,-74.91403463227351
MAPIRIPAN,2.8933959,-72.132043
SAMANA,5.4127804,-74.992031
BARRANCO DE LOBA,8.80374595,-74.24064154122095
EL ZULIA,8.09548865,-72.64637754651707
DIBULLA,11.2716722,-73.3078999
ARBOLETES,8.8528266,-76.4273168
CORRALES,5.82400485,-72.83969508169977
PUERTO BOYACA,5.9756376,-74.5882837
CHIPAQUE,4.4070793,-74.0697039
MARIQUITA,5.1974195,-74.8939527
SAN MARTIN,3.9894363,-74.6418184
VILLARRICA,3.9354843,-74.6002686
CAROLINA,8.511341949999998,-75.6181735916681
BELALCAZAR,4.80577695,-75.695500163889
SANTA ROSA,3.2857376,-76.23769976062451
SAN JUAN DEL CESAR,10.81475945,-73.08446070179835
LA GLORIA,8.6182682,-73.8013876
GUACHENE,3.1323331,-76.3916018
PUENTE NACIONAL,5.8770962,-73.6791063
NARINO,1.5842268,-77.8585766
SAN LUIS DE PALENQUE,5.422039,-71.7314386
CONVENCION,8.5833769,-73.2830742
ARMERO,4.9623792,-74.9049753
REPELON,10.5027155,-75.13528690255919
TAME,6.4615077,-71.7245069
CAMPOALEGRE,2.6851032,-75.3263227
CANALETE,8.7128498,-76.25202529573784
PARATEBUENO,4.3765197,-73.2125493
LURUACO,10.6221761,-75.14116485163257
GINEBRA,3.7237049,-76.2687988
NATAGA,2.5769586,-75.7951200743144
VILLAVIEJA,3.2195402,-75.2190257
PUPIALES,0.8707969,-77.6419358
APARTADO,7.8849011,-76.6227461
CHIQUINQUIRA,5.6182733,-73.8167476
LA CUMBRE,3.6505888,-76.569897
GALERAS,1.2215268,-77.3589636
SANTA ROSA DE CABAL,4.8650708,-75.6211554
SAMPUES,10.5273716,-74.1830465
LA MONTANITA,1.4817139,-75.4356404
PIJAO,4.3341444,-75.7038062
SAMACA,5.4917892,-73.48529
FUNZA,4.7163036,-74.2122206
ACEVEDO,1.8070452,-75.888501
PUERTO LOPEZ,4.0891674,-72.96059024775572
YOTOCO,3.89766105,-76.387873049896
GUAITARILLA,1.1305245,-77.5483421
SAN MIGUEL DE SEMA,5.5189895,-73.7229967
BARBACOAS,1.6741037,-78.1364951
SAN JERONIMO,6.4427228,-75.727937
SIBATE,4.46600575,-74.26272399106114
CARMEN DE APICALA,4.130307950000001,-74.73666125049249
LA CALERA,4.6891987,-73.911174
FUNDACION,10.4593846,-73.84120905775575
ALVARADO,4.567169,-74.9538251
MARSELLA,4.9367579,-75.7390439
COELLO,4.2880723,-74.8981694
SUAZA,1.9772874,-75.7946272
PUERTO SALGAR,5.4648005,-74.6550167
MEDIO ATRATO,6.011108549999999,-76.69106336626541
LOS PALMITOS,9.3805529,-75.2681334
PALMIRA,3.5308373,-76.2988048
LERIDA,4.8609666,-74.9109405
CIENAGA DE ORO,8.8746769,-75.6210036
CUNDAY,3.96594345,-74.72676148715544
LA PLATA,2.3894154,-75.8926236
APIA,5.1065543,-75.9425022
COVENAS,9.41139265,-75.63984809065627
LA BELLEZA,5.8588396,-73.9658291
COROMORO,6.24050595,-72.99173070370512
GUAMAL,9.144026,-74.2236605
